mot-clé_(mc),url,trafic,position,volumeh,volume_ads,allintitle,cpc,comp.,kgr,kvi,maj_serp,si_informational,si_navigational,si_transactional,si_commercial,si_local,si_brand,sugg._ortho.,sugg._ortho._avec_redir.
"location nacelle 20m","https://www.batamat.com/Batamat/detail_produit/106","1","64","50","50","","1.18","0.44","","36","OLDER_THAN_2_MONTHS","","","","","","","",""
"manuscopique rotatif","https://www.batamat.com/Batamat/sub_categorie/20","1","65","50","50","","0.87","0.71","","33","OLDER_THAN_2_MONTHS","","","","","","","",""
"rouleau duplex","https://www.batamat.com/Batamat/detail_produit/95","1","66","50","50","","","0.52","","14","OLDER_THAN_2_MONTHS","","","","","","","",""
"pelleteuse 2.5 t","https://www.batamat.com/Batamat/sub_categorie/22","1","86","210","210","","0.86","0.42","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 3.5 tonnes","https://www.batamat.com/Batamat/detail_produit/75","1","78","140","140","","1","0.85","","18","OLDER_THAN_2_MONTHS","","","","","","","",""
"location nacelle arras","https://www.batamat.com/","1","66","30","30","","1.694","0.312","","1","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"location mini pelle nord pas-de-calais","https://www.batamat.com/Batamat/detail_produit/60","1","52","10","10","","","0.3571","","1","OLDER_THAN_2_MONTHS","false","false","true","false","true","false","",""
"cylindre pied de mouton","https://www.batamat.com/Batamat/detail_produit/94","1","64","30","30","","","0.0849","","10","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"location nacelle ciseau prix","https://www.batamat.com/Batamat/detail_produit/124","1","44","5","30","2","1.24","0.29","0.4","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","location nacelle ciseaux prix",""
"location brh pelle 5t","https://www.batamat.com/Batamat/detail_produit/87","1","52","10","10","","1.1854","0.1886","","17","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"conduire sans caces","https://www.batamat.com/Batamat/detail_actu/19","1","67","20","20","","","0.0286","","28","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle telescopique 40 m","https://www.batamat.com/Batamat/detail_produit/119","1","70","30","30","","0.6514","0.5143","","25","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"comment passer ses caces avec pole emploi","https://www.batamat.com/Batamat/detail_actu/19","1","62","10","10","","1.8286","0.1714","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"pelle hitachi 14 tonnes","https://www.batamat.com/Batamat/detail_produit/83","1","57","10","10","","","0.01","","1","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"location benne preneuse","https://www.batamat.com/Batamat/detail_produit/81","1","62","20","20","","1.3147","0.2683","","5","OLDER_THAN_2_MONTHS","","","","","","","",""
"chariot telescopique electrique","https://www.batamat.com/Batamat/detail_produit/62","1","82","70","70","","3.33","1","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"comment choisir une mini pelle","https://www.batamat.com/Batamat/detail_actu/17","1","62","10","10","","0.41","1","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"financement caces","https://www.batamat.com/Batamat/detail_actu/19","1","73","70","70","784","1.0013","0.3548","11.2","25","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location pelleteuse 25 tonnes","https://www.batamat.com/Batamat/detail_produit/84","1","60","10","10","","2.7054","0.1","","16","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location mini pelle 2t","https://www.batamat.com/Batamat/detail_produit/81","1","67","20","20","","0.63","0.38","","17","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"camion nacelle 16m","https://www.batamat.com/Batamat/detail_produit/100","1","72","70","70","","1.61","0.02","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"dumper 5t","https://www.batamat.com/Batamat/detail_produit/54","1","75","70","70","","","0.82","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"pince bordure mini pelle","https://www.batamat.com/Batamat/detail_produit/194","1","75","64","70","","0.41","1","","18","OLDER_THAN_2_MONTHS","false","false","true","true","false","false","",""
"location mini pelle 5t","https://www.batamat.com/Batamat/detail_produit/79","1","78","70","70","","0.53","0.21","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"tarif location pelleteuse","https://www.batamat.com/Batamat/detail_produit/56","1","79","42","50","","0.46","0.2","","32","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"prix location mini pelle 5t","https://www.batamat.com/Batamat/detail_produit/80","1","87","70","70","2","0.53","0.14","0.0286","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"vgp mini pelle","https://www.batamat.com/Batamat/detail_actu/17","1","90","82","90","","0.86","0.1","","5","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle 28m","https://www.batamat.com/Batamat/sub_categorie/38","1","77","40","40","","0.4","0.14","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"ponceuse sol location","https://www.batamat.com/Batamat/detail_produit/196","1","66","30","30","","0.1472","1","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle ciseaux thermique","https://www.batamat.com/Batamat/detail_produit/122","1","77","30","30","246","0.4998","0.8912","8.2","25","OLDER_THAN_2_MONTHS","","","","","","","",""
"comment se servir d une mini pelle","https://www.batamat.com/Batamat/detail_actu/17","1","73","27","30","","","0.0136","","19","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"contrat de mise à disposition de matériel","https://www.batamat.com/Batamat/pages/10","1","82","70","70","","0.206","0.0224","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle diesel","https://www.batamat.com/Batamat/detail_produit/115","1","63","30","30","","0.5983","0.437","","27","OLDER_THAN_2_MONTHS","","","","","","","",""
"caces r485 obligatoire","https://www.batamat.com/Batamat/detail_actu/19","1","76","70","70","","1.06","0.04","","18","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle ciseau 16m","https://www.batamat.com/Batamat/detail_produit/61","1","79","30","30","","2.9005","0.8836","","13","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"nacelle diesel","https://www.batamat.com/Batamat/detail_produit/114","1","79","30","30","","0.5983","0.437","","27","OLDER_THAN_2_MONTHS","","","","","","","",""
"compresseur thermique diesel","https://www.batamat.com/Batamat/detail_produit/97","1","87","90","90","","0.5166","1","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"location de compresseur","https://www.batamat.com/Batamat/detail_produit/97","1","78","50","50","","1.24","1","","30","OLDER_THAN_2_MONTHS","false","false","true","true","true","false","",""
"symbole huile hydraulique","https://www.batamat.com/assets/pdf/2982.pdf","1","78","50","50","","","0","","15","OLDER_THAN_2_MONTHS","","","","","","","",""
"toucan 10m","https://www.batamat.com/Batamat/detail_produit/129","1","75","70","70","","1","0.06","","14","OLDER_THAN_2_MONTHS","","","","","","","",""
"brise roche électrique","https://www.batamat.com/Batamat/detail_produit/87","1","75","30","30","","0.32","1","","18","OLDER_THAN_2_MONTHS","","","","","","","",""
"location pelle grand bras","https://www.batamat.com/Batamat/detail_produit/78","1","62","20","20","","0.336","0.29","","16","OLDER_THAN_2_MONTHS","","","","","","","",""
"rouleau bomag","https://www.batamat.com/Batamat/detail_produit/91","1","78","40","40","","0.4506","0.7778","","10","OLDER_THAN_2_MONTHS","true","false","true","false","false","true","",""
"micro pelle prix","https://www.batamat.com/Batamat/sub_categorie/22","1","80","90","90","","0.62","1","","31","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini chariot télescopique","https://www.batamat.com/Batamat/detail_produit/109","1","78","40","40","","1.07","0.99","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"brh mini pelle prix","https://www.batamat.com/Batamat/detail_produit/87","1","75","30","30","","0.4565","0.9748","","19","OLDER_THAN_2_MONTHS","","","","","","","",""
"formation caces c'est quoi","https://www.batamat.com/Batamat/detail_actu/19","1","75","40","40","","1.6857","0.2388","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix location mini pelle 44","https://www.batamat.com/Batamat/detail_produit/56","1","52","10","10","","","","","10","OLDER_THAN_2_MONTHS","","","","","","","",""
"location brise roche prix","https://www.batamat.com/Batamat/detail_produit/87","1","63","20","20","","0.39","0.08","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"permis conducteur d'engin","https://www.batamat.com/Batamat/detail_actu/19","1","78","50","50","","0.78","0.27","","25","OLDER_THAN_2_MONTHS","","","","","","","",""
"location de manitou","https://www.batamat.com/Batamat/detail_produit/220","1","79","70","70","","1.39","0.49","","23","OLDER_THAN_2_MONTHS","false","false","true","false","true","false","",""
"prix location manitou telescopique","https://www.batamat.com/Batamat/detail_produit/109","1","51","10","10","","0.3","0.33","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 800kg à vendre","https://www.batamat.com/Batamat/sub_categorie/22","1","62","10","10","","0.389","1","","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"location nacelle ciseaux 12m prix","https://www.batamat.com/Batamat/detail_produit/102","1","79","30","30","2","0.51","0.3","0.0667","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"micro pelle pas chere 1000 euros","https://www.batamat.com/Batamat/detail_produit/56","1","54","10","10","","0.1874","1","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix location nacelle telescopique","https://www.batamat.com/Batamat/detail_produit/100","1","52","10","10","","1.25","0.22","","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"location pelle 6 tonnes","https://www.batamat.com/Batamat/detail_produit/78","1","74","30","30","","1.0314","0.3452","","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"pelle brh","https://www.batamat.com/Batamat/detail_produit/87","1","83","90","90","","2.34","0.75","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini chargeur electrique","https://www.batamat.com/Batamat/detail_produit/28","1","88","90","90","","0.68","1","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix location pelle 5 tonnes","https://www.batamat.com/Batamat/detail_produit/76","1","73","70","70","","0.44","0.15","","23","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"rentabilité mini pelle","https://www.batamat.com/Batamat/detail_produit/80","1","57","10","10","","0.5838","0.4026","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"72 kg","https://www.batamat.com/Batamat/detail_produit/63","1","75","50","50","","","0","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"location camion nacelle 10 m prix","https://www.batamat.com/Batamat/detail_produit/129","1","54","10","10","","0.5995","0.3429","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"betonniere thermique location","https://www.batamat.com/Batamat/detail_produit/219","1","74","64","70","","0.0587","0.04","","32","OLDER_THAN_2_MONTHS","","","","","","","",""
"mise en demeure restitution matériel","https://www.batamat.com/Batamat/pages/10","1","77","70","70","","","","","13","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"bougie imbibé d huile","https://www.batamat.com/assets/pdf/3839.pdf","1","54","10","10","","","0.119","","14","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"pelle 4t","https://www.batamat.com/Batamat/detail_produit/80","1","83","90","90","","0.4297","0.9001","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"surfaceuse sol","https://www.batamat.com/Batamat/detail_produit/196","1","71","30","30","","0.2803","1","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"location compresseur electrique","https://www.batamat.com/Batamat/detail_produit/160","1","72","50","50","","0.4414","1","","29","OLDER_THAN_2_MONTHS","","","","","","","",""
"marteau piqueur définition","https://www.batamat.com/Batamat/detail_actu/28","1","73","30","30","","","0.1905","","45","OLDER_THAN_2_MONTHS","","","","","","","",""
"location mini pelle 37","https://www.batamat.com/Batamat/detail_produit/84","1","58","10","10","","0.62","0.5","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 5t loxam","https://www.batamat.com/Batamat/detail_produit/80","1","79","30","30","","0.2105","0.0278","","30","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix location pelle 14 t avec chauffeur","https://www.batamat.com/Batamat/detail_produit/76","1","52","10","10","","","","","34","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle electrique 15m","https://www.batamat.com/Batamat/detail_produit/100","1","65","30","30","","0.7","0.967","","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"combien coute une location de mini pelle","https://www.batamat.com/Batamat/detail_produit/56","1","75","45","50","","0.53","0.26","","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"fiche technique nacelle articulée 12 m","https://www.batamat.com/Batamat/detail_produit/112","1","61","10","10","","","0.013","","23","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"compresseur thermique de chantier","https://www.batamat.com/Batamat/detail_produit/97","1","71","40","40","","0.0895","1","","26","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini-pelle de chantier","https://www.batamat.com/Batamat/sub_categorie/22","1","49","5","50","","0.19","1","","31","OLDER_THAN_2_MONTHS","","","","","","","",""
"dumper 1000 l","https://www.batamat.com/Batamat/detail_produit/54","1","72","50","50","","0.4101","1","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"un caces","https://www.batamat.com/Batamat/detail_actu/19","1","72","50","50","","2.31","0.03","","39","OLDER_THAN_2_MONTHS","","","","","","","",""
"chariot télescopique 12m","https://www.batamat.com/Batamat/detail_produit/62","1","78","30","30","","1.0831","1","","15","OLDER_THAN_2_MONTHS","false","false","false","true","false","false","",""
"pelle pour marteau piqueur","https://www.batamat.com/Batamat/detail_actu/28","1","72","50","50","","0.97","1","","39","OLDER_THAN_2_MONTHS","false","false","true","true","false","false","",""
"fiche technique mini-pelle 5t","https://www.batamat.com/Batamat/detail_produit/79","1","73","40","40","","0.7752","0.1466","","22","OLDER_THAN_2_MONTHS","true","false","false","true","false","false","",""
"mini pelle 2.5t fiche technique","https://www.batamat.com/Batamat/detail_produit/59","1","86","90","90","","0.6","0.4","","10","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 2.5t prix","https://www.batamat.com/Batamat/detail_produit/59","1","67","20","20","","","0.5071","","17","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 1.5t fiche technique","https://www.batamat.com/Batamat/detail_produit/56","1","68","20","20","","","0.0476","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 2.5t","https://www.batamat.com/Batamat/detail_produit/81","1","94","320","320","676","0.87","0.93","2.1125","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix location mini pelle 2.5 tonnes","https://www.batamat.com/Batamat/detail_produit/56","1","59","10","10","","","0.3571","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 3.5t prix","https://www.batamat.com/Batamat/detail_produit/80","1","62","10","10","","0.4332","0.7669","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"pelle 2.5t","https://www.batamat.com/Batamat/sub_categorie/22","1","92","210","210","","0.86","0.42","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"location mini pelle morlaix","https://www.batamat.com/Batamat/detail_produit/56","1","72","10","10","","","0.2222","","1","OLDER_THAN_2_MONTHS","true","false","false","false","true","false","",""
"mini pelle macao","https://www.batamat.com/Batamat/sub_categorie/22","1","74","10","10","","","","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle thermique","https://www.batamat.com/Batamat/detail_produit/60","1","90","40","40","","0.0884","1","","25","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"pelle 5t takeuchi","https://www.batamat.com/Batamat/detail_produit/191","1","73","10","10","","","","","18","OLDER_THAN_2_MONTHS","","","","","","","",""
"location benne trith saint leger","https://www.batamat.com/Batamat/detail_produit/54","1","63","10","10","","","","","1","OLDER_THAN_2_MONTHS","false","false","true","true","true","false","",""
"caces 3 validité","https://www.batamat.com/Batamat/detail_actu/19","1","84","20","20","","","0.0526","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location benne bethune","https://www.batamat.com/Batamat/detail_produit/53","1","89","20","20","","0.5492","0.4847","","1","OLDER_THAN_2_MONTHS","true","false","true","true","true","false","",""
"location minipelle tarif","https://www.batamat.com/Batamat/detail_produit/56","1","82","20","20","1","0.76","0.05","0.05","23","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location chariot élévateur télescopique","https://www.batamat.com/Batamat/detail_produit/111","1","82","20","20","","1.27","0.25","","28","OLDER_THAN_2_MONTHS","false","false","true","true","true","false","",""
"location chariot élévateur tout terrain","https://www.batamat.com/Batamat/detail_produit/107","1","84","20","20","","1.22","0.51","","8","OLDER_THAN_2_MONTHS","false","false","true","true","false","false","",""
"plaques de roulage et de protection des sols","https://www.batamat.com/Batamat/detail_produit/179","1","91","30","30","","1.8752","1","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"marteau piqueur de demolition","https://www.batamat.com/Batamat/detail_actu/28","1","71","10","10","","0.2341","1","","35","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"location mini pelle 44","https://www.batamat.com/Batamat/detail_produit/56","1","85","20","20","","1.02","0.36","","7","OLDER_THAN_2_MONTHS","true","false","true","false","true","false","",""
"prix location mini pelle 2 5 tonnes","https://www.batamat.com/Batamat/detail_produit/76","1","91","70","70","","0.84","0.16","","22","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"chariot telescopique 14m","https://www.batamat.com/Batamat/detail_produit/111","1","92","70","70","","0.71","0.11","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"chargeuse 700l","https://www.batamat.com/Batamat/detail_produit/90","1","93","40","40","","0.0182","0.1584","","7","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"location de camion nacelle","https://www.batamat.com/Batamat/detail_produit/104","1","94","90","90","","1.19","0.34","","26","OLDER_THAN_2_MONTHS","true","false","true","false","true","false","",""
"mini pelle kobelco 5t","https://www.batamat.com/Batamat/detail_produit/79","1","91","20","20","","","0.5429","","10","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix location nacelle 18m","https://www.batamat.com/Batamat/detail_produit/129","1","97","10","10","","0.7564","0.07","","30","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"loueur matériel btp","https://www.batamat.com/","1","92","5","30","","1.26","0.06","","24","OLDER_THAN_2_MONTHS","true","false","true","false","true","false","",""
"sobemat mini pelle","https://www.batamat.com/Batamat/detail_actu/17","1","77","20","20","","1.73","0.71","","11","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle petite largeur","https://www.batamat.com/Batamat/detail_produit/56","1","72","10","10","","0.09","0.83","","27","OLDER_THAN_2_MONTHS","","","","","","","",""
"livraison mini pelle","https://www.batamat.com/Batamat/detail_produit/56","1","91","20","20","","1.55","0.55","","20","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"v lille location longue durée","https://www.batamat.com/Batamat/detail_produit/138","1","89","10","10","","","","","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"couteau suisse lille","https://www.batamat.com/Batamat/detail_produit/110","1","81","20","20","","1.0406","0.97","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"comment manipuler une mini pelle","https://www.batamat.com/Batamat/detail_actu/17","1","69","10","10","","","","","21","OLDER_THAN_2_MONTHS","","","","","","","",""
"potence treuil manitou","https://www.batamat.com/Batamat/category/1","1","89","30","30","","","1","","19","OLDER_THAN_2_MONTHS","","","","","","","",""
"caces c","https://www.batamat.com/Batamat/detail_actu/19","1","97","90","90","","0.85","0.03","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"manitou mt 625 h fiche technique","https://www.batamat.com/Batamat/detail_produit/62","1","76","10","10","","","0.0238","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"location treuil électrique 1t","https://www.batamat.com/Batamat/detail_produit/220","1","79","20","20","","0.8961","1","","16","OLDER_THAN_2_MONTHS","","","","","","","",""
"marteaux piqueurs electrique","https://www.batamat.com/Batamat/detail_actu/28","1","69","10","10","3","0.4889","1","0.3","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"meilleur mini pelle 5t","https://www.batamat.com/Batamat/detail_produit/77","1","82","10","10","","0.0308","0.1","","22","OLDER_THAN_2_MONTHS","true","false","true","true","false","false","",""
"pneu telescopique","https://www.batamat.com/Batamat/detail_produit/62","1","92","70","70","","0.56","1","","13","OLDER_THAN_2_MONTHS","","","","","","","",""
"caces 5 définition","https://www.batamat.com/Batamat/detail_actu/19","1","67","10","10","","3.2252","0.0714","","23","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"caces financement","https://www.batamat.com/Batamat/detail_actu/19","1","72","10","10","","1.8873","0.3286","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"brp lille","https://www.batamat.com/","1","75","20","20","","","0","","26","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"generation bethune blog","https://www.batamat.com/Batamat/detail_produit/84","1","86","10","10","","","0","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"nacelle articulée electrique","https://www.batamat.com/Batamat/detail_produit/99","1","88","50","50","","0.3944","0.575","","10","OLDER_THAN_2_MONTHS","","","","","","","",""
"marteau hydraulique pour mini pelle","https://www.batamat.com/Batamat/detail_produit/87","1","90","10","10","","0.22","0.91","","21","OLDER_THAN_2_MONTHS","","","","","","","",""
"comment conduire un caces 5","https://www.batamat.com/Batamat/detail_actu/19","1","73","20","20","","","0.0612","","5","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"tarière rabaud mini pelle","https://www.batamat.com/Batamat/detail_produit/75","1","89","40","40","","","1","","13","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"attestation de conduite caces","https://www.batamat.com/Batamat/detail_actu/19","1","84","5","40","","1.9985","0.0653","","16","OLDER_THAN_2_MONTHS","","","","","","","",""
"genie lift manuel","https://www.batamat.com/assets/pdf/3200.pdf","1","92","40","40","","0.2803","1","","8","OLDER_THAN_2_MONTHS","","","","","","","",""
"tarif location mini pelle 5t","https://www.batamat.com/Batamat/detail_produit/79","1","71","10","10","","0.6203","0.2857","","22","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"terrassement mini pelle 1t5","https://www.batamat.com/Batamat/detail_produit/57","1","77","10","10","","1.0074","0.4857","","15","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"poid plaque vibrante","https://www.batamat.com/Batamat/detail_produit/161","1","88","30","30","","0.9679","1","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"utiliser marteau piqueur","https://www.batamat.com/Batamat/detail_actu/28","1","95","50","50","","","0.7411","","36","OLDER_THAN_2_MONTHS","true","false","true","false","false","false","",""
"location manitou télescopique prix","https://www.batamat.com/Batamat/detail_produit/64","1","89","70","70","","0.95","0.21","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"brise-roche électrique","https://www.batamat.com/Batamat/detail_produit/87","1","64","5","30","","0.32","1","","20","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"remorque grande taille","https://www.batamat.com/Batamat/detail_produit/172","1","95","70","70","","","1","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"transport gnr","https://www.batamat.com/Batamat/detail_produit/221","1","96","20","20","","","0.1746","","12","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix location camion nacelle 10m","https://www.batamat.com/Batamat/detail_produit/112","1","93","40","40","","0.85","0.26","","8","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location telescopique rotatif","https://www.batamat.com/Batamat/detail_produit/110","1","96","20","20","","2.1682","0.3413","","33","OLDER_THAN_2_MONTHS","false","false","false","false","true","false","",""
"prix location manitou telescopique","https://www.batamat.com/Batamat/detail_produit/111","1","77","10","10","","0.3","0.33","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"chariot rotatif 21m","https://www.batamat.com/Batamat/sub_categorie/20","1","87","50","50","","0.8775","0.4156","","29","OLDER_THAN_2_MONTHS","","","","","","","",""
"prix location mini pelle 800 kg","https://www.batamat.com/Batamat/detail_produit/60","1","97","10","10","","1.7436","0.1","","20","OLDER_THAN_2_MONTHS","","","","","","","",""
"location pelle 8t prix","https://www.batamat.com/Batamat/detail_produit/84","1","74","10","10","2","0.6342","0.09","0.2","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"beton frappe merville","https://www.batamat.com/Batamat/detail_produit/198","1","87","20","20","","","0.0095","","7","OLDER_THAN_2_MONTHS","","","","","","","",""
"location pelle 7 tonnes","https://www.batamat.com/Batamat/detail_produit/76","1","92","10","10","","1.31","0.06","","15","OLDER_THAN_2_MONTHS","","","","","","","",""
"brh micro pelle","https://www.batamat.com/Batamat/detail_produit/87","1","66","10","10","","","1","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"location manitou rotatif","https://www.batamat.com/Batamat/detail_produit/110","1","72","20","20","","1.5132","0.734","","22","OLDER_THAN_2_MONTHS","","","","","","","",""
"pelle avec brh","https://www.batamat.com/Batamat/detail_produit/88","1","89","40","40","","0.0345","0.29","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"brh mini pelle location","https://www.batamat.com/Batamat/detail_produit/87","1","86","10","10","","0.8358","0.2041","","25","OLDER_THAN_2_MONTHS","","","","","","","",""
"formation caces 4 pôle emploi","https://www.batamat.com/Batamat/detail_actu/19","1","94","10","10","1","1.6463","0.2857","0.1","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location pelle 15 tonnes prix","https://www.batamat.com/Batamat/detail_produit/76","1","71","20","20","","0.73","0.2","","1","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"prix location nacelle 8m","https://www.batamat.com/Batamat/detail_produit/118","1","82","10","10","2","0.81","0.24","0.2","31","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location pelle retro","https://www.batamat.com/Batamat/detail_actu/17","1","79","10","10","","0.8758","0.07","","12","OLDER_THAN_2_MONTHS","","","","","","","",""
"bétonnière essence","https://www.batamat.com/Batamat/detail_produit/219","1","75","8","90","","0.16","1","","33","OLDER_THAN_2_MONTHS","false","false","true","false","false","false","",""
"loueur de matériel btp","https://www.batamat.com/","1","70","5","50","","0.7651","0.12","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle 800 kg neuve","https://www.batamat.com/Batamat/sub_categorie/22","1","81","5","40","","1.83","1","","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"duplex roubaix tarif","https://www.batamat.com/Batamat/detail_produit/63","1","69","8","90","","","0","","16","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"colas trith saint leger","https://www.batamat.com/","1","100","30","30","","","0.0153","","31","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location engin de chantier prix","https://www.batamat.com/","1","89","40","40","4","0.35","0.28","0.1","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"location mini pelle calais","https://www.batamat.com/","1","93","10","10","","0.64","0.54","","1","OLDER_THAN_2_MONTHS","","","","","","","",""
"formation terrassement pole emploi","https://www.batamat.com/Batamat/detail_actu/19","1","96","10","10","","1.48","0.17","","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"location mini pelle avec chauffeur 60","https://www.batamat.com/Batamat/detail_produit/80","1","72","10","10","","2.627","0.5816","","1","OLDER_THAN_2_MONTHS","true","false","true","false","true","false","",""
"location groupe électrogène montpellier","https://www.batamat.com/Batamat/detail_produit/175","1","86","5","30","","2.04","0.86","","11","OLDER_THAN_2_MONTHS","false","false","true","false","true","false","",""
"location materiel de construction","https://www.batamat.com/","1","93","5","50","","1.66","0.2","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
