mot-clé_(mc),url,trafic,position,volumeh,volume_ads,allintitle,cpc,comp.,kgr,kvi,maj_serp,si_informational,si_navigational,si_transactional,si_commercial,si_local,si_brand,sugg._ortho.,sugg._ortho._avec_redir.
"plaque vibrante 80kg","https://www.batamat.com/Batamat/detail_produit/161","1","36","110","110","","1.73","1","","7","2026-06-04","","","","","","","",""
"compacteur monobille","https://www.batamat.com/Batamat/detail_produit/93","1","28","30","30","","0.0348","0.6299","","18","OLDER_THAN_2_MONTHS","","","","","","","",""
"location matériel btp","https://www.batamat.com/","1","34","100","1300","6100","0.76","0.09","61","29","2026-06-01","","","","","","","",""
"location mini pelle avec pince de tri","https://www.batamat.com/Batamat/detail_produit/195","1","17","10","10","","0.4415","0.3393","","8","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini micro pelle","https://www.batamat.com/Batamat/detail_produit/56","1","17","10","10","","0.68","1","","26","OLDER_THAN_2_MONTHS","","","","","","","",""
"chariot telescopique 7m","https://www.batamat.com/Batamat/detail_produit/64","1","21","20","20","","1.89","1","","27","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location minipelle 2.5t","https://www.batamat.com/Batamat/detail_produit/59","1","12","5","50","","1.18","0.32","","20","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"bulle engin","https://www.batamat.com/Batamat/detail_produit/52","1","37","110","110","","","0.16","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"location nacelle 16m prix","https://www.batamat.com/Batamat/detail_produit/100","1","22","20","20","3","0.75","0.3","0.15","32","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"compacteur 120","https://www.batamat.com/Batamat/detail_produit/91","1","30","30","30","","0.2906","0.6729","","25","OLDER_THAN_2_MONTHS","","","","","","","",""
"location betonniere thermique","https://www.batamat.com/Batamat/detail_produit/219","1","39","110","110","","0.74","0.86","","25","2026-06-08","true","false","true","false","false","false","",""
"passer son permis caces","https://www.batamat.com/Batamat/detail_actu/19","1","19","10","10","","0.639","0.4082","","33","OLDER_THAN_2_MONTHS","","","","","","","",""
"mini pelle komatsu 1.5 t","https://www.batamat.com/Batamat/detail_produit/57","1","19","10","10","","","","","12","OLDER_THAN_2_MONTHS","","","","","","","",""
"location micro-pelle","https://www.batamat.com/Batamat/detail_produit/56","1","36","91","1000","163","0.49","0.45","1.7912","34","2026-06-16","true","false","true","false","false","false","",""
"prix location compresseur","https://www.batamat.com/Batamat/detail_produit/160","1","24","20","20","","1.19","0.24","","30","OLDER_THAN_2_MONTHS","","","","","","","",""
"bomag bt65","https://www.batamat.com/Batamat/category/4","1","32","70","70","","0.2113","0.9787","","5","2026-06-01","","","","","","","",""
"chargeuse 800l","https://www.batamat.com/Batamat/detail_produit/35","1","32","70","70","","","0.33","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"manitou rotatif 25 m","https://www.batamat.com/Batamat/detail_produit/111","1","32","70","70","","","0.15","","24","OLDER_THAN_2_MONTHS","","","","","","","",""
"location chariot télescopique","https://www.batamat.com/Batamat/detail_produit/111","1","54","480","480","2670","2.86","0.17","5.5625","28","OLDER_THAN_2_MONTHS","","","","","","","",""
"dumper 2000l","https://www.batamat.com/Batamat/detail_produit/37","1","26","20","20","","","0.9257","","8","OLDER_THAN_2_MONTHS","","","","","","","",""
"location brise roche prix","https://www.batamat.com/Batamat/detail_produit/88","1","27","20","20","","0.39","0.08","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"pelle 14 tonnes","https://www.batamat.com/Batamat/detail_produit/83","1","43","170","170","","2.33","0.07","","26","2026-05-31","false","false","true","false","false","false","",""
"brh location","https://www.batamat.com/Batamat/detail_produit/88","1","35","70","70","","2.02","0.09","","30","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"salmat nord location","https://www.batamat.com/","1","35","70","70","","","0.07","","21","OLDER_THAN_2_MONTHS","true","false","false","false","false","false","",""
"location manitou télescopique prix","https://www.batamat.com/Batamat/detail_produit/62","1","35","70","70","","0.95","0.21","","23","OLDER_THAN_2_MONTHS","","","","","","","",""
"nacelle 15m","https://www.batamat.com/Batamat/detail_produit/99","1","35","70","70","","0.98","1","","18","OLDER_THAN_2_MONTHS","","","","","","","",""
