sous-domaine,url,top_3_mcs,trafic,mcs,positionnés,perdus,total_top_3,total_top_10,total_top_50,prem._vue_serp,der._vue_serp
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/table-elevatrice/pont-roulant-a-commande-electrique-la-solution-efficace-et-precise-pour-les-operations-de-levage-regulieres/","","1","7","3","4","0","0","2","2025-07-24","2026-01-02"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/elevateur-magnetique-a-aimant-en-acier-capacite-poids-300-kg/","","1","9","1","8","1","1","6","2025-07-01","2026-02-06"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/chariot-elevateur/comment-descendre-dun-chariot-elevateur/","","1","12","3","9","1","1","7","2025-07-03","2025-12-31"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/treuil-a-cable-electrique-400-800-kg-palan-electrique/","","1","10","6","4","0","0","4","2025-07-02","2026-01-28"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/","","1","5","1","4","0","0","2","2025-07-24","2026-05-05"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/chariot-elevateur-diesel-4x4-2t","","1","6","0","6","0","0","4","2025-09-24","2025-09-25"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/levage-magnetique-300-kg/","","1","4","1","3","0","0","4","2025-07-07","2026-01-25"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/palan-electrique-500-1000-kg-treuil-palan-a-chaine-a-levier-1800-w/","","1","16","0","16","0","0","4","2025-07-01","2025-09-04"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/elevateur-magnetique-a-aimant-en-acier-capacite-de-100-kg/","","1","2","0","2","0","0","2","2025-07-19","2025-09-16"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/chariot-elevateur-a-gaz-5t/","","1","5","1","4","0","0","1","2026-01-03","2026-03-03"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/chariot-elevateur-diesel-4x4-25t/","","1","2","0","2","0","0","2","2025-07-07","2025-07-25"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/table-elevatrice/comment-les-entrepots-logistiques-hubs-stimulent-la-croissance-economique-et-le-developpementhow-entrepot-logistique-hubs-drive-economic-growth-and-development/","","1","1","0","1","0","0","1","2025-07-13","2025-12-31"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/pont-roulant/6-avantages-du-pont-roulant-a-portique/","","1","3","0","3","0","0","2","2025-07-22","2025-10-01"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/produit/levage-magnetique-aimants-de-levage-100-kg/","","1","5","2","3","0","0","3","2025-07-05","2026-02-05"
"www.infoweb-manutention.fr","https://www.infoweb-manutention.fr/table-elevatrice/levage-ponts-roulants-potences/pont-roulant-a-commande-manuelle","","1","2","0","2","0","0","1","2025-08-05","2025-08-05"
